48
4388.623528833469	49009.327533688236	200170
21067.39080651745	61673.27754020997	155250
40379.87844037625	66727.65971242615	120410
58067.807916020756	66143.74931965955	93386
72578.17804695872	62647.80275891511	72428
84299.59595483443	58241.2976778502	56174
93900.64146139732	54126.1891411028	43568
102230.80536359125	50570.02060437381	33791
109583.14374158214	47625.3668740294	26207
116269.16948646419	45308.07901732938	20326
122680.39786381957	43563.92866251095	15765
128898.70237638555	42304.96297133592	12227
134956.33751961376	41389.10731989512	9482.8
141182.3213036664	40696.800894561966	7354.7
147209.52431707576	40078.72282475488	5704.2
153370.37680713553	39464.42977857328	4424.1
159811.04170368455	38750.94545985344	3431.3
166276.38719321208	37960.22400425042	2661.2
172335.2760377537	37102.81417354535	2064
178088.7726449185	36167.83700816658	1600.8
184053.28746222873	35243.2293348405	1241.6
189993.95306863764	34322.26001896501	962.93
195630.60493705166	33228.9397207127	746.84
200966.07463437298	32009.699553771545	579.23
206110.53952262807	30693.105476072382	449.24
210781.33905346663	29210.8320644244	348.43
215257.86520829285	27651.5441519052	270.23
219258.38637571613	26106.168554896376	209.59
222851.5096579357	24681.776738746416	162.55
226341.50179337803	23350.19369285663	126.07
229990.02297432645	22145.52040712793	97.781
233410.241772411	20954.50164476299	75.838
236711.23334888622	19669.186704231142	58.818
239723.24680266593	18235.276046984636	45.619
242401.53832146453	16695.301844472135	35.381
244707.66501973235	15009.831736861554	27.441
246628.5512154128	13184.247155152609	21.283
248520.52598642	11328.715849027261	16.507
249889.83298904766	9512.443485876198	12.802
250898.8483555095	7884.813958390704	9.9292
251692.37944437668	6458.922516189494	7.7009
252126.9914834633	5237.283988597526	5.9727
252668.31163506964	4278.0058555718015	4.6323
252361.31043523963	3435.7501529010474	3.5928
251701.57004635176	2811.6504617678897	2.7865
251996.8618710639	2287.1137668185747	2.1612
252087.52273395128	1847.931154804785	1.6762
252205.9756076473	1496.637954434386	1.3
